调整后位置 (mm),调整后面积 (mm^2)
0.0,0.0
0.025,0.0067
0.05,0.0187
0.075,0.0341
0.1,0.0521
0.125,0.0722
0.15,0.0941
0.175,0.1176
0.2,0.1425
0.225,0.1685
0.25,0.1956
0.275,0.2236
0.3,0.2524
0.325,0.282
0.35,0.3121
0.375,0.3427
0.4,0.3737
0.425,0.4051
0.45,0.4367
0.475,0.4684
0.5,0.5003
0.525,0.5321
0.55,0.5638
0.575,0.5954
0.6,0.6268
0.625,0.6578
0.65,0.6884
0.675,0.7186
0.7,0.7481
0.725,0.7769
0.75,0.8049
0.775,0.832
0.8,0.8581
0.825,0.8829
0.85,0.9064
0.875,0.9283
0.9,0.9484
0.925,0.9664
0.95,0.9818
0.975,0.9938
